planet_id,star_type,star_teff_k,star_magnitude_j,planet_radius_re,distance_pc,equilibrium_temp_k,in_habitable_zone,atmosphere_type,cloud_fraction,scale_height_km,o2_ch4_ratio,n_transits,broadband_snr,is_detected,noise_floor_ppm,transit_duration_h
8555,M,3676.1772060227795,9.008770762758395,2.128991205917291,24.30271954811566,828.6064316076851,False,hycean,0.6087247217018817,8.253064646664601,0.002,20,725.7299001081867,True,21.980396708688104,1.1135981640015322
8556,M,3419.525574128248,10.271942670573479,1.1477818193402094,38.704082857381984,478.3017627004199,False,high_co2,0.1967919607266326,6.926046050928871,0.01,5,43.623707128954926,True,35.11726647628139,1.4146871013082065
8556,M,3419.525574128248,10.271942670573479,1.1477818193402094,38.704082857381984,478.3017627004199,False,high_co2,0.1967919607266326,6.926046050928871,0.01,10,54.10439181069399,True,28.576409961049016,1.4146871013082065
8556,M,3419.525574128248,10.271942670573479,1.1477818193402094,38.704082857381984,478.3017627004199,False,high_co2,0.1967919607266326,6.926046050928871,0.01,20,64.20433878595763,True,24.660202060860815,1.4146871013082065
8557,M,3202.2660618482896,10.768214014035154,1.2588074967176852,42.909796203529474,135.85160667200057,False,reduced_o2_high_ch4,0.11105888669053285,9.46197531381178,0.001,5,236.43133885040626,True,29.888719258093595,3.7280618816346585
8557,M,3202.2660618482896,10.768214014035154,1.2588074967176852,42.909796203529474,135.85160667200057,False,reduced_o2_high_ch4,0.11105888669053285,9.46197531381178,0.001,10,270.60878901338424,True,25.426493730335004,3.7280618816346585
8557,M,3202.2660618482896,10.768214014035154,1.2588074967176852,42.909796203529474,135.85160667200057,False,reduced_o2_high_ch4,0.11105888669053285,9.46197531381178,0.001,20,295.25507038473677,True,22.87473566696716,3.7280618816346585
8558,K,4296.7245732792035,6.994775106075927,0.9757453008755261,29.44632560278834,219.4794051328036,True,abiotic_o2,0.5178804578757412,7.257855407828872,1000.0,5,5.8686600327203156,True,20.198736306425968,7.183173331488984
8558,K,4296.7245732792035,6.994775106075927,0.9757453008755261,29.44632560278834,219.4794051328036,True,abiotic_o2,0.5178804578757412,7.257855407828872,1000.0,10,5.94580801779523,True,20.099613793019614,7.183173331488984
8558,K,4296.7245732792035,6.994775106075927,0.9757453008755261,29.44632560278834,219.4794051328036,True,abiotic_o2,0.5178804578757412,7.257855407828872,1000.0,20,5.986338190562455,True,20.049860288450517,7.183173331488984
8559,M,3223.8745071563776,10.864078062541287,2.250493584809846,45.477778263309304,646.4502878308512,False,abiotic_o2,0.24619363741002412,9.708719879613962,1000.0,5,16.76218983504485,True,53.074898198810715,0.8353116959654922
